t, s,liquid,p512,sp33,ntm2
,p512,sp33,ntm2,liquid
412.50,273.00
412.60,273.00
412.70,273.00
412.80,273.00
412.90,273.00
413.00,273.00
413.10,273.00
413.20,273.00
413.30,273.00
413.40,273.00
413.50,273.00
413.60,273.00
413.70,273.00
413.80,273.00
413.90,273.00
414.00,273.00
414.10,273.00
414.20,273.00
414.30,273.00
414.40,273.00
414.50,273.00
414.60,273.00
414.70,273.00
414.80,273.00
414.90,273.00
415.00,273.00
415.20,273.00
415.40,273.00
415.60,273.00
415.80,273.00
416.00,273.00
416.20,273.00
416.40,273.00
416.60,273.00
416.80,273.00
417.00,273.00
417.20,273.00
417.40,273.00
417.60,273.00
417.80,273.00
418.00,273.00
418.20,273.00
418.40,273.00
418.60,273.00
418.80,273.00
419.00,273.00
419.20,273.00
419.40,273.00
419.60,273.00
419.80,273.00
420.00,273.00
420.20,273.00
420.40,273.00
420.60,273.00
420.80,273.00
421.00,273.00
421.20,273.00
421.40,273.00
421.60,273.00
421.80,273.00
422.00,273.00
422.20,273.00
422.40,273.00
422.60,273.00
422.80,273.00
423.00,273.00
423.20,273.00
423.40,273.00
423.60,273.00
423.80,273.00
424.00,273.00
424.20,273.00
424.40,273.00
424.60,273.00
424.80,273.00
425.00,273.00
Time: 0.200 sec
x, mm,T, K
